timestamp,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
1727685021.4634266,0.0,0.0,0.0,0.0,0.0,0.0
1727685021.5851653,0.0,0.0,0.0,0.0,0.0,0.0
1727685021.6404886,0.0,0.0,0.0,0.0,0.0,0.0
1727685021.641886,0.0,0.0,0.0,0.0,0.0,0.0
1727685021.662891,0.0,0.0,0.0,0.0,0.0,0.0
1727685021.7129302,0.0,0.0,0.0,0.0,0.0,0.0
1727685021.7626483,0.0,0.0,0.0,0.0,0.0,0.0
1727685021.8127077,0.0,0.0,0.0,0.0,0.0,0.0
1727685021.907292,0.0,0.0,0.0,0.0,0.0,0.0
1727685021.9132054,0.0,0.0,0.0,0.0,0.0,0.0
1727685021.9627924,0.0,0.0,0.0,0.0,0.0,0.0
1727685022.0127015,0.0,0.0,0.0,0.0,0.0,0.0
1727685022.0632632,0.0,0.0,0.0,0.0,0.0,0.0
1727685022.1132565,0.0,0.0,0.0,0.0,0.0,0.0
1727685022.1629834,0.0,0.0,0.0,0.0,0.0,0.0
1727685022.2327175,0.0,0.0,0.0,0.0,0.0,0.0
1727685022.2832644,0.0,0.0,0.0,0.0,0.0,-0.16
1727685022.354197,0.0,0.0,0.0,0.0,0.0,-0.16000000000000003
1727685022.3625042,0.0,0.0,0.0,0.0,0.0,-0.16000000000000003
1727685022.4124663,0.0,0.0,0.0,0.0,0.0,-0.18895876036294942
1727685022.462959,0.0,0.0,0.0,0.0,0.0,-0.18895876036294942
1727685022.5156522,0.0,0.0,0.0,0.0,0.0,-0.18895876036294942
1727685022.5627303,0.0,0.0,0.0,0.0,0.0,-0.18895876036294942
1727685022.653746,0.0,0.0,0.0,0.0,0.0,-0.27299787548011434
1727685022.7604454,0.0,0.0,0.0,0.0,0.0,-0.338518250061345
1727685022.8148272,0.0,0.0,0.0,0.0,0.0,-0.338518250061345
1727685022.8150022,0.0,0.0,0.0,0.0,0.0,-0.3639213095501863
1727685022.8626993,0.0,0.0,0.0,0.0,0.0,-0.42631396933306887
1727685022.9132051,0.0,0.0,0.0,0.0,0.0,-0.42631396933306887
1727685022.9627442,0.0,0.0,0.0,0.0,0.0,-0.42631396933306887
1727685023.0243332,0.0,0.0,0.0,0.0,0.0,-0.42631396933306887
1727685023.0731137,0.0,0.0,0.0,0.0,0.0,-0.42631396933306887
1727685023.112789,0.0,0.0,0.0,0.0,0.0,-0.5681111057544567
1727685023.162752,0.0,0.0,0.0,0.0,0.0,-0.5681111057544567
1727685023.2127826,0.05121024325489998,0.0,0.0,0.0,0.0,-0.40811110575445664
