timestamp,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
1727705838.7476227,0.0,0.0,0.0,0.0,0.0,0.0
1727705838.7979739,0.0,0.0,0.0,0.0,0.0,0.0
1727705838.846837,0.0,0.0,0.0,0.0,0.0,0.0
1727705838.8968797,0.0,0.0,0.0,0.0,0.0,0.0
1727705838.9481654,0.0,0.0,0.0,0.0,0.0,0.0
1727705839.0175874,0.0,0.0,0.0,0.0,0.0,0.0
1727705839.0687652,0.0,0.0,0.0,0.0,0.0,0.0
1727705839.128078,0.0,0.0,0.0,0.0,0.0,0.0
1727705839.1471364,0.0,0.0,0.0,0.0,0.0,0.0
1727705839.197738,0.0,0.0,0.0,0.0,0.0,0.0
1727705839.2469363,0.0,0.0,0.0,0.0,0.0,0.0
1727705839.2972553,0.0,0.0,0.0,0.0,0.0,0.0
1727705839.346837,0.0,0.0,0.0,0.0,0.0,0.0
1727705839.4070165,0.0,0.0,0.0,0.0,0.0,0.0
1727705839.4985216,0.0,0.0,0.0,0.0,0.0,0.0
1727705839.4994123,0.0,0.0,0.0,0.0,0.0,0.0
1727705839.5465531,0.0,0.0,0.0,0.0,0.0,-0.16
1727705839.5992963,0.0,0.0,0.0,0.0,0.0,-0.16000000000000003
1727705839.6471076,0.0,0.0,0.0,0.0,0.0,-0.16000000000000003
1727705839.6970875,0.0,0.0,0.0,0.0,0.0,-0.16000000000000003
1727705839.7465093,0.0,0.0,0.0,0.0,0.0,-0.16000000000000003
1727705839.8080354,0.0,0.0,0.0,0.0,0.0,-0.16000000000000003
1727705839.8467486,0.0,0.0,0.0,0.0,0.0,-0.2655653521145029
1727705839.897479,0.0,0.0,0.0,0.0,0.0,-0.2655653521145029
1727705839.9468496,0.0,0.0,0.0,0.0,0.0,-0.2655653521145029
1727705839.998211,0.0,0.0,0.0,0.0,0.0,-0.2655653521145029
1727705840.047231,0.0,0.0,0.0,0.0,0.0,-0.2655653521145029
1727705840.1180112,0.0,0.0,0.0,0.0,0.0,-0.2655653521145029
1727705840.20006,0.0,0.0,0.0,0.0,0.0,-0.3412438484011814
1727705840.2467177,0.0,0.0,0.0,0.0,0.0,-0.42556458290646054
1727705840.24685,0.0,0.0,0.0,0.0,0.0,-0.42556458290646054
1727705840.2970665,0.0,0.0,0.0,0.0,0.0,-0.4415377818372271
1727705840.3468902,0.0,0.0,0.0,0.0,0.0,-0.4415377818372271
1727705840.3971725,0.0,0.0,0.0,0.0,0.0,-0.4415377818372271
1727705840.4465373,0.0,0.0,0.0,0.0,0.0,-0.4415377818372271
1727705840.5071456,0.0,0.0,0.0,0.0,0.0,-0.4415377818372271
1727705840.6194487,0.0,0.0,0.0,0.0,0.0,-0.504820552600049
1727705840.6620336,0.0,0.0,0.0,0.0,0.0,-0.504820552600049
1727705840.6631353,0.061916496604681015,0.0,0.0,0.0,0.0,-0.34482055260004896
1727705840.6975935,0.09673485904932022,0.0,0.0,0.0,0.0,-0.25149139761924744
1727705840.7471344,0.12205839902162552,0.0,0.0,0.0,0.0,-0.3002488315105438
1727705840.7969887,0.12205839902162552,0.0,0.0,0.0,0.0,-0.3002488315105438
1727705840.8474412,0.14543300867080688,0.0,0.0,0.0,0.0,-0.32701846957206726
1727705840.9178014,0.16019463539123535,0.0,0.0,0.0,0.0,-0.33719828724861145
1727705840.9467611,0.179188072681427,0.0,0.0,0.0,0.0,-0.34163224697113037
1727705840.9968324,0.19699044525623322,0.0,0.0,0.0,0.0,-0.3181169033050537
1727705841.0477917,0.20853641629219055,0.0,0.0,0.0,0.0,-0.3075137436389923
1727705841.0971377,0.2140669971704483,0.0,0.0,0.0,0.0,-0.3036578297615051
