timestamp,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1727705037.124365,1.1653951800327154e-13,-5.451968348635885e-24,0.0,0.0,0.0,-3.5302968336253703e-12,1.0,5.626021885717071e-16,0.0,0.0,0.0,0.0,2.1661715114880028e-18
1727705037.1611793,1.1656286834702743e-13,-5.452133215924655e-24,0.0,0.0,0.0,-3.530296821575847e-12,1.0,4.981417876979583e-16,0.0,0.0,0.0,0.0,1.0461270346506158e-18
1727705037.2111092,1.1658317594327237e-13,-5.452276599608705e-24,0.0,0.0,0.0,-3.5302967640884204e-12,1.0,4.3657940000833017e-16,0.0,0.0,0.0,0.0,1.3907390051425743e-18
1727705037.276146,1.1660055995449995e-13,-5.4523993410445e-24,0.0,0.0,0.0,-3.5302966363415365e-12,1.0,3.7691607472511485e-16,0.0,0.0,0.0,0.0,3.704686218055277e-18
1727705037.5181658,1.1661532952645236e-13,-5.4525036229831814e-24,0.0,0.0,0.0,-3.5302965290354964e-12,1.0,3.215358317998793e-16,0.0,0.0,0.0,0.0,4.701058487016366e-18
1727705037.569888,1.1662769188370117e-13,-5.452590908555963e-24,0.0,0.0,0.0,-3.530296451464471e-12,1.0,2.7131929201222873e-16,0.0,0.0,0.0,0.0,3.6975413019706595e-18
1727705037.6820867,1.1663746487635191e-13,-5.4526599116784985e-24,0.0,0.0,0.0,-3.5302964096991357e-12,1.0,2.213534989955439e-16,0.0,0.0,0.0,0.0,2.3867272010499185e-18
1727705037.735866,1.1664488691318118e-13,-5.452712315657757e-24,0.0,0.0,0.0,-3.530296322376984e-12,1.0,1.7195029480012543e-16,0.0,0.0,0.0,0.0,2.5817497321580932e-18
1727705037.9296887,1.166501113622078e-13,-5.452749203363861e-24,0.0,0.0,0.0,-3.5302962634877097e-12,1.0,1.2646485855879925e-16,0.0,0.0,0.0,0.0,2.9242285151225804e-18
1727705038.0080597,1.1665328796219281e-13,-5.452771632041857e-24,0.0,0.0,0.0,-3.530296214480953e-12,1.0,8.401049011633516e-17,0.0,0.0,0.0,0.0,2.157920609993496e-18
1727705038.2686648,1.1665421199231257e-13,-5.4527781562418705e-24,0.0,0.0,0.0,-3.530296134386956e-12,1.0,4.100630104775019e-17,0.0,0.0,0.0,0.0,2.582015057395693e-18
1727705038.3185294,1.1665332888844905e-13,-5.452771921005665e-24,0.0,0.0,0.0,-3.5302960397215153e-12,1.0,4.0926256233901854e-19,0.0,0.0,0.0,0.0,3.4951887540342965e-18
1727705038.3667932,1.1665068619350973e-13,-5.452753262014915e-24,0.0,0.0,0.0,-3.5302959503894794e-12,1.0,-3.525798802839922e-17,0.0,0.0,0.0,0.0,3.6799495397349404e-18
1727705038.432837,1.1664622625237503e-13,-5.4527217721912066e-24,0.0,0.0,0.0,-3.53029582245498e-12,1.0,-7.102636074018321e-17,0.0,0.0,0.0,0.0,4.3453307005625365e-18
1727705038.6933444,1.1664027873222716e-13,-5.452679779180859e-24,0.0,0.0,0.0,-3.530295691962581e-12,1.0,-1.0407461282565331e-16,0.0,0.0,0.0,0.0,5.168537963195378e-18
1727705038.743435,1.1663279279475106e-13,-5.452626924035735e-24,0.0,0.0,0.0,-3.530295650753518e-12,1.0,-1.3433457623965224e-16,0.0,0.0,0.0,0.0,3.434029240261041e-18
1727705038.8703501,1.16623828655656e-13,-5.452563631913771e-24,0.0,0.0,0.0,-3.53029558487052e-12,1.0,-1.6450076571160546e-16,0.0,0.0,0.0,0.0,2.141841230436132e-18
1727705038.9193041,-1.1551172003565067e-06,1.8069660600907705e-09,0.0,0.0,0.0,-0.0014479377984775552,0.9999989517375164,-1.1551191158505708e-05,0.0,0.0,0.0,0.0,-0.028958766017741923
1727705039.107628,-4.140759319293142e-06,1.7836143409198696e-08,0.0,0.0,0.0,-0.005649864518376241,0.9999840393880914,-4.140806869291879e-05,0.0,0.0,0.0,0.0,-0.11299789146938972
1727705039.1610918,-4.140827229583465e-06,1.7837229353487174e-08,0.0,0.0,0.0,-0.0103736653998123,0.9999461920854406,-2.9857556726771558e-05,0.0,0.0,0.0,0.0,-0.17851826322333614
1727705039.441532,-1.0809871192705908e-05,2.102254763241224e-07,0.0,0.0,0.0,-0.016306936939594154,0.9998670330637209,-6.671908373022178e-05,0.0,0.0,0.0,0.0,-0.2131553032437244
1727705039.4827118,-1.948309704851968e-05,5.216954775546088e-07,0.0,0.0,0.0,-0.024526896451346872,0.9996991704260162,-0.00015350671390529456,0.0,0.0,0.0,0.0,-0.2831100950738093
1727705039.5318615,-3.670932808737433e-05,1.5970235422398062e-06,0.0,0.0,0.0,-0.034359928314459075,0.9994095233317648,-0.0002593875447610104,0.0,0.0,0.0,0.0,-0.3611806617002283
1727705039.6038244,-3.670987992711251e-05,1.597066176778514e-06,0.0,0.0,0.0,-0.04542878153995937,0.9989675799583261,-0.00017260477035348568,0.0,0.0,0.0,0.0,-0.4183013128267543
1727705039.8422766,-6.389298827678397e-05,4.538566612456353e-06,0.0,0.0,0.0,-0.0578756848034743,0.9983237977272349,-0.0002734275596475051,0.0,0.0,0.0,0.0,-0.47082701588838677
1727705039.8727427,-7.786160429565742e-05,6.203828223777723e-06,0.0,0.0,0.0,-0.07224876759840491,0.99738664297278,-0.00041409748912526675,0.0,0.0,0.0,0.0,-0.5373469775485947
1727705039.975969,-7.786218418725587e-05,6.203921248745948e-06,0.0,0.0,0.0,-0.08666044675317838,0.996237906811691,-0.00014068133769879615,0.0,0.0,0.0,0.0,-0.5772248365770084
1727705040.0276768,-0.0001038745100448774,1.1380946542578846e-05,0.0,0.0,0.0,-0.10192426371873982,0.9947921614414705,-0.00026523438875464267,0.0,0.0,0.0,0.0,-0.5957959484354993
1727705040.2305212,-0.0001964589208060893,3.2043790590084695e-05,0.0,0.0,0.0,-0.11986227291490496,0.9927905295336338,-0.0012138803595076325,0.0,0.0,0.0,0.0,-0.6676373710018535
1727705040.2878408,-0.00019646007257770532,3.2044093200377036e-05,0.0,0.0,0.0,-0.13859841672147646,0.9903486653105057,-0.0009486637533814499,0.0,0.0,0.0,0.0,-0.7388892728329908
1727705040.5426688,-0.0002649661457323005,5.366804915449606e-05,0.0,0.0,0.0,-0.1586535651422323,0.9873343133243468,-0.0007184182202962797,0.0,0.0,0.0,0.0,-0.7835128387454307
1727705040.5946352,-0.00030936478214082266,6.863607231577175e-05,0.0,0.0,0.0,-0.18068776677927645,0.9835405080302071,-0.0011869493993484775,0.0,0.0,0.0,0.0,-0.8527930221389604
1727705040.688509,-0.0003093660577430639,6.863659035761212e-05,0.0,0.0,0.0,-0.20274261713968114,0.9792320619727239,-0.00046855685740095077,0.0,0.0,0.0,0.0,-0.896622011259821
1727705040.7422402,-0.00031956274324464613,7.321441086317841e-05,0.0,0.0,0.0,-0.22552384094106231,0.9742376492248647,-0.00011178574717114753,0.0,0.0,0.0,0.0,-0.9159002603689782
1727705041.0530262,0.0013026665555181279,-0.0007774985474267263,0.0,0.0,0.0,-0.24619734829111845,0.9692197200296855,0.018206623237174632,0.0,0.0,0.0,0.0,-0.8919395201806175
