timestamp,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
1727705385.1251945,6.132400791909353e-07,-1.3165519695774888e-09,-1.4274793684321274e-06,0.9999999999987931,-3.8584223424838624e-08,3.995493614318591e-10,1.4912154295628505e-14,2.5686477684105e-08,1.2009713753406933e-05,9.799969111493859
1727705385.1270616,6.126728151680118e-07,-1.3106789093420946e-09,-1.4274793679880382e-06,0.9999999999987934,-3.7438064266970685e-08,3.876711901342178e-10,1.2250718770555797e-14,2.5576788652330086e-08,1.199888070234387e-05,9.7999700289195
1727705385.1446283,6.121224024658752e-07,-1.304976288301206e-09,-1.4274793680990605e-06,0.9999999999987939,-3.63253939906534e-08,3.764502615284443e-10,9.805126349504728e-15,2.547060483387308e-08,1.1988364674342493e-05,9.799970919101069
1727705385.1754797,6.115883460302759e-07,-1.2994433113008435e-09,-1.4274793677659936e-06,0.9999999999987941,-3.5247004130732997e-08,3.6521251541107315e-10,9.512285375616149e-15,2.5367704470669743e-08,1.1978205333899172e-05,9.799971782806757
1727705385.2178147,6.109008724619671e-07,-1.2923222748654597e-09,-1.427479367543949e-06,0.9999999999987945,-3.3856823156433264e-08,3.50513385479481e-10,1.633717000010668e-14,2.5221497422875992e-08,1.1965056901065568e-05,9.799972894692957
1727705385.2830448,6.104031080970994e-07,-1.287166909806847e-09,-1.427479367155371e-06,0.9999999999987947,-3.285120946747777e-08,3.4031569360025393e-10,1.0870600826909468e-14,2.5126189378606575e-08,1.1955562996707561e-05,9.799973699738157
1727705385.5252767,6.099201210323276e-07,-1.2821665541867024e-09,-1.4274793669888375e-06,0.999999999998795,-3.1875779886180804e-08,3.2991956488788814e-10,1.415600012327912e-14,2.5028594179692013e-08,1.1946338721760576e-05,9.799974480893528
1727705385.535851,6.092983776079758e-07,-1.2757310786630974e-09,-1.427479366822304e-06,0.9999999999987954,-3.062037891439017e-08,3.1692158066259544e-10,1.0417701254730159e-14,2.490909950319459e-08,1.1934488242412682e-05,9.799975486419669
1727705385.5605397,6.088482015655423e-07,-1.2710710376072882e-09,-1.4274793666002594e-06,0.9999999999987956,-2.971082966071143e-08,3.0760354914043893e-10,7.865217748094353e-15,2.4824315462129677e-08,1.1925888467866818e-05,9.7999762145114
1727705385.5916588,6.084113930384487e-07,-1.2665490143766232e-09,-1.4274793665447483e-06,0.9999999999987961,-2.8828219032443134e-08,2.9857449120646947e-10,7.178222663780796e-15,2.4736198134941753e-08,1.1917542634996137e-05,9.799976920966147
1727705385.6978884,6.078490984301971e-07,-1.2607279041281985e-09,-1.4274793662116814e-06,0.9999999999987964,-2.7692005849192602e-08,2.8653400082636985e-10,1.452610432569629e-14,2.4616666760226457e-08,1.1906815440097557e-05,9.799977830371546
1727705385.732271,6.074419704361026e-07,-1.2565091750644932e-09,-1.4274793662671925e-06,0.9999999999987967,-2.686968133642758e-08,2.784397453156907e-10,7.439191075474223e-15,2.454499744144461e-08,1.1899050845944045e-05,9.799978488829849
1727705385.9411306,6.070469371029542e-07,-1.2524153681621428e-09,-1.4274793659341256e-06,0.9999999999987967,-2.6071252640629917e-08,2.7009955217233137e-10,9.989296655759312e-15,2.4464429905640078e-08,1.1891509829542592e-05,9.799979127728191
1727705385.9421065,6.066636374856871e-07,-1.2484450219924282e-09,-1.4274793658786145e-06,0.9999999999987972,-2.529686810623322e-08,2.619250596638496e-10,1.1234313115478728e-14,2.438619788516681e-08,1.1884189594414106e-05,9.799979747657366
1727705385.9650853,6.061702301860525e-07,-1.2433321350449972e-09,-1.4274793656010587e-06,0.9999999999987974,-2.429913762159202e-08,2.5172011676364526e-10,8.442798266411503e-15,2.4291039584006246e-08,1.1874754973822152e-05,9.799980545693893
1727705386.230932,6.058129851373378e-07,-1.239634518062952e-09,-1.4274793654345252e-06,0.9999999999987976,-2.3577333390485554e-08,2.441794949396545e-10,4.570117010838338e-15,2.4224499985216198e-08,1.1867950896488012e-05,9.799981123504118
1727705386.2321744,6.054663461063681e-07,-1.2360474216889839e-09,-1.4274793652679918e-06,0.9999999999987977,-2.287737670124627e-08,2.3668273108809655e-10,9.987679161715612e-15,2.4148857137491795e-08,1.1861340410919861e-05,9.799981684143761
1727705386.266434,6.050201092336747e-07,-1.2314298436804577e-09,-1.4274793651569695e-06,0.9999999999987981,-2.197677505863321e-08,2.2709559798935225e-10,1.5295139497801687e-14,2.4053890734141064e-08,1.1852818884175229e-05,9.79998240586644
1727705386.2956307,6.046970105307355e-07,-1.2280861735640493e-09,-1.4274793651014583e-06,0.9999999999987983,-2.1323866975174212e-08,2.2067548078424025e-10,6.483395438810719e-15,2.4000556472266858e-08,1.1846650323439344e-05,9.799982928429621
1727705386.325008,6.043835068389017e-07,-1.2248406648569536e-09,-1.4274793649349249e-06,0.9999999999987985,-2.069030750308502e-08,2.1406712818931705e-10,1.1345960325131782e-14,2.3931072903515676e-08,1.1840662801428135e-05,9.799983435470011
1727705386.366,6.039799441924244e-07,-1.2206624927692782e-09,-1.4274793648794137e-06,0.9999999999987987,-1.987438364543903e-08,2.0581913472248834e-10,4.337555102881801e-15,2.3860822021858295e-08,1.1832954259554918e-05,9.799984088194902
1727705386.6003146,6.036877418151014e-07,-1.2176352265924878e-09,-1.4274793647128803e-06,0.9999999999987988,-1.9284685835608778e-08,1.9987631623667406e-10,4.970092609396271e-15,2.380069511160537e-08,1.1827390625832692e-05,9.799984560779562
1727705386.6038601,6.03404223482845e-07,-1.21469530393086e-09,-1.427479364601858e-06,0.9999999999987991,-1.871188394207113e-08,1.941138515696917e-10,3.151327066506388e-15,2.374847974358276e-08,1.1821990625294832e-05,9.799985019321987
1727705386.6237674,6.031291263244373e-07,-1.2118435608631414e-09,-1.4274793644908357e-06,0.9999999999987992,-1.815553910461687e-08,1.8807341731752243e-10,1.1655416155251902e-14,2.3680992062026727e-08,1.1816716117662182e-05,9.799985464283841
1727705386.6637719,6.027750114456807e-07,-1.2081744431217816e-09,-1.427479364268791e-06,0.9999999999987994,-1.743943407480933e-08,1.807355905709932e-10,2.2151424785444257e-15,2.3625988746376666e-08,1.1809961021393855e-05,9.799986037042599
1727705386.740405,6.025186100820287e-07,-1.2055224052398361e-09,-1.427479364268791e-06,0.9999999999987996,-1.6921595537317042e-08,1.7491803674151017e-10,9.942469964126118e-15,2.3563085786408306e-08,1.1805064570660428e-05,9.79998645176638
1727705386.7697716,6.022698259573169e-07,-1.2029483921742802e-09,-1.4274793641577688e-06,0.9999999999987996,-1.6419274458131227e-08,1.6980878332373723e-10,8.9604275545133e-15,2.351313439411028e-08,1.180032742255502e-05,9.79998685415159
1727705387.0060198,6.01949565238386e-07,-1.1996321407629256e-09,-1.4274793641022576e-06,0.9999999999988,-1.5772581034121604e-08,1.6334256087495381e-10,5.547994051457217e-15,2.3454347715107222e-08,1.1794210266766666e-05,9.799987372151227
1727705387.0104487,6.109911571401579e-07,-1.2063188780101397e-09,-2.419872880965457e-07,0.9999999999997841,5.967139300316686e-07,-3.4415471155595236e-10,0.00011761091002604688,0.0008418889396732085,1.7309125279220827,9.799985509794027
1727705387.0205548,6.197634763124354e-07,-1.2116878234261662e-09,2.626373438618934e-06,0.999999999996359,5.789349369687585e-07,-1.8972607512352652e-10,0.00022718093328451337,0.0008661268965711788,1.7307596343850982,9.799985847164619
1727705387.31322,6.275312465497841e-07,-1.248442623467072e-09,-0.00019327611299913006,0.9999999813219763,1.246656197419464e-07,-2.4645768485933068e-08,-0.027868981167181107,0.22606218447248883,0.557907125346658,9.799984653684026
1727705387.3158135,6.34375754361581e-07,-1.5188825437407276e-09,-0.0006553450127723681,0.9999997852612329,2.594723923560627e-07,-4.166473462994551e-08,-0.0386917575601273,0.17567015466621905,0.958354175151731,9.799981950425655
1727705387.3323188,6.346700700219046e-07,-2.0424268091848114e-09,-0.0016127836199130163,0.9999986994634504,-6.990162847270464e-08,-8.689815818901374e-08,-0.06891369129444246,0.051858332758939175,0.03740416293892342,9.799987770591697
1727705387.3643591,6.338419435987697e-07,-2.6999343081219093e-09,-0.00260948903964886,0.999996595277479,-7.887695091705004e-08,-8.514712232010795e-08,-0.0661542844624309,0.01167560118938634,0.0027237050512298167,9.799989418393144
1727705387.4063413,6.331101623137875e-07,-3.5398031327840784e-09,-0.0038641843030153833,0.9999925340117652,-5.7791862699660856e-08,-7.623184340878432e-08,-0.05854527761023151,-0.010129262813801672,0.05387866375161956,9.799987402714033
1727705387.4610505,6.319674533146781e-07,-4.1011675328965795e-09,-0.00473408144643972,0.9999887941734442,-7.639355406010861e-08,-7.41813215847895e-08,-0.05792805745666825,0.011901429404668267,-0.0003657425740670213,9.799990282353576
1727705387.4947672,6.332289274554184e-07,-4.674750758812957e-09,-0.005607122647898144,0.9999842799640455,-7.06002876520448e-08,-7.472057857479186e-08,-0.05824031838836932,0.013511542450151582,0.022650391145638916,9.79998953684018
1727705387.7274823,6.36913160724675e-07,-5.501158776955802e-09,-0.006997988185883819,0.9999755137806847,1.0357311837853711e-07,-1.046445864949764e-07,-0.09019496193664356,0.26744370275546214,0.5544714747379823,9.799988835292238
1727705387.7364957,6.342709281419629e-07,-6.427739697717386e-09,-0.008463630010179912,0.9999641828418898,-4.273987713733063e-07,-1.2576264605826454e-07,-0.09422316560358082,-0.06290001501696789,-0.9641113890759055,9.799985493728116
1727705387.7670484,6.327971186539167e-07,-7.323185192312585e-09,-0.009844640201635224,0.9999515403552812,-7.905535127870283e-08,-1.1803312253706271e-07,-0.0918145153476029,0.020902800551496657,-0.00408934196874326,9.799991602947532
1727705387.866264,6.282724260300233e-07,-8.457767203938069e-09,-0.011660757721156323,0.9999320110532384,-1.4428783244289508e-07,-1.1444081407721798e-07,-0.08961309706049796,0.0143886494379372,-0.20862470794943933,9.800001143267504
1727705387.9008455,6.27189151339851e-07,-9.308918550697162e-09,-0.013002416690111318,0.9999154650068289,-6.703863641225751e-08,-1.1364809174933722e-07,-0.08943129227308436,0.020528313984510462,-0.0016954195519917504,9.799992085537498
1727705387.9316576,6.248681211661729e-07,-1.0129743533744437e-08,-0.014325858921701906,0.9998973796174109,-6.685434970910468e-08,-1.114869207009534e-07,-0.08809323973662192,0.01863864931957233,-0.014055726215455706,9.799992874652546
1727705388.1096516,6.170391523811594e-07,-1.0841975719328305e-08,-0.015617935673983008,0.9998780326044284,-7.470201481893185e-07,-1.0621839358198067e-07,-0.08423578364404052,-0.008937638412117557,-1.927348847829802,9.799995038269413
1727705388.1236773,6.024571528391413e-07,-1.1603646668576779e-08,-0.017210650502129887,0.999851885785555,-7.174939537011433e-07,-9.42330056065413e-08,-0.07695761987411129,-0.014834707411550458,-1.9265776460327042,9.799995270893632
1727705388.1571987,5.923047226431578e-07,-1.2094984373270028e-08,-0.018331260416407757,0.9998319683282759,-6.152333481343872e-07,-8.805911340833142e-08,-0.07542891968355442,0.03190928696451057,-1.6949936050973486,9.799996766560113
1727705388.4139633,5.888693676415342e-07,-1.283344316966169e-08,-0.01997851929504152,0.9998004094650246,-1.6733268898188865e-07,-1.3874166520894541e-07,-0.1272017548065829,0.2482193291984347,-0.4569547201788629,9.79999540250625
1727705388.4290183,5.858970677072636e-07,-1.4555941459056374e-08,-0.02338346469618585,0.9997265694070847,-1.3988343387580784e-07,-2.1911815511312127e-07,-0.19561891903513184,0.23835880608420856,-0.4039838066643903,9.799994050721693
1727705388.4601178,5.838794687989394e-07,-1.6360526202274616e-08,-0.02680400633079738,0.9996407080767957,-1.2756173840394736e-07,-2.7570611724120663e-07,-0.2440822795715299,0.22549539148385145,-0.3874657810542211,9.799994218090124
1727705388.4893882,5.839218970746482e-07,-1.8551142951487916e-08,-0.030573150022660034,0.999532531985503,2.108551646560198e-08,-2.9524049917698123e-07,-0.2522464707879839,0.007768214471631568,-0.01012804033296976,9.799993974164531
1727705388.5372927,5.842550605194784e-07,-2.152349724685857e-08,-0.035709184442987985,0.999362223693729,2.1418787325497513e-08,-3.0525264665083076e-07,-0.27056562802291395,0.2555101155718166,0.02575301362225099,9.799994112331902
1727705388.5715532,5.844809615165738e-07,-2.395235761206328e-08,-0.03985615770684975,0.9992054276736613,2.0787838831375763e-08,-3.251866645578673e-07,-0.27738712338060767,0.006958229063546044,-0.010000023824436585,9.79999429662656
1727705388.8253908,5.846592322243832e-07,-2.6460495271427508e-08,-0.044343500260113855,0.999016343201821,1.7709902277223646e-08,-3.627944065496222e-07,-0.32134881212045785,0.30905735645294435,0.019523045018994826,9.799994432303283
1727705388.8275337,5.847795960709523e-07,-2.948034727578928e-08,-0.049815423034774375,0.9987584410794852,1.7169380022111307e-08,-4.403726207197324e-07,-0.3871253163357799,0.3098497922414756,0.008691387612526474,9.799994609683358
1727705388.8686752,5.850648478400834e-07,-3.433310010597429e-08,-0.058215375906889355,0.9983040468753375,2.3428755620481838e-08,-5.012874438528247e-07,-0.4272044442939367,0.028841617640223936,-0.018900072447417957,9.799994782345145
1727705388.944952,5.851630038683885e-07,-3.813391144312061e-08,-0.06462521861945153,0.9979096056848257,2.1675476925258167e-08,-5.03936781324165e-07,-0.4282965243478859,0.005151276089300059,-0.02541974511864523,9.799995013985628
