timestamp,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
1727706073.6170883,6.099201210323276e-07,-1.2821665541867024e-09,-1.4274793669888375e-06,0.999999999998795,-3.1875779886180804e-08,3.2991956488788814e-10,1.415600012327912e-14,2.5028594179692013e-08,1.1946338721760576e-05,9.799974480893528
1727706073.6190598,6.092983776079758e-07,-1.2757310786630974e-09,-1.427479366822304e-06,0.9999999999987954,-3.062037891439017e-08,3.1692158066259544e-10,1.0417701254730159e-14,2.490909950319459e-08,1.1934488242412682e-05,9.799975486419669
1727706073.644717,6.088482015655423e-07,-1.2710710376072882e-09,-1.4274793666002594e-06,0.9999999999987956,-2.971082966071143e-08,3.0760354914043893e-10,7.865217748094353e-15,2.4824315462129677e-08,1.1925888467866818e-05,9.7999762145114
1727706073.6794267,6.084113930384487e-07,-1.2665490143766232e-09,-1.4274793665447483e-06,0.9999999999987961,-2.8828219032443134e-08,2.9857449120646947e-10,7.178222663780796e-15,2.4736198134941753e-08,1.1917542634996137e-05,9.799976920966147
1727706073.7796834,6.078490984301971e-07,-1.2607279041281985e-09,-1.4274793662116814e-06,0.9999999999987964,-2.7692005849192602e-08,2.8653400082636985e-10,1.452610432569629e-14,2.4616666760226457e-08,1.1906815440097557e-05,9.799977830371546
1727706073.804777,6.074419704361026e-07,-1.2565091750644932e-09,-1.4274793662671925e-06,0.9999999999987967,-2.686968133642758e-08,2.784397453156907e-10,7.439191075474223e-15,2.454499744144461e-08,1.1899050845944045e-05,9.799978488829849
1727706074.0108995,6.070469371029542e-07,-1.2524153681621428e-09,-1.4274793659341256e-06,0.9999999999987967,-2.6071252640629917e-08,2.7009955217233137e-10,9.989296655759312e-15,2.4464429905640078e-08,1.1891509829542592e-05,9.799979127728191
1727706074.0122094,6.066636374856871e-07,-1.2484450219924282e-09,-1.4274793658786145e-06,0.9999999999987972,-2.529686810623322e-08,2.619250596638496e-10,1.1234313115478728e-14,2.438619788516681e-08,1.1884189594414106e-05,9.799979747657366
1727706074.0368245,6.061702301860525e-07,-1.2433321350449972e-09,-1.4274793656010587e-06,0.9999999999987974,-2.429913762159202e-08,2.5172011676364526e-10,8.442798266411503e-15,2.4291039584006246e-08,1.1874754973822152e-05,9.799980545693893
1727706074.2927227,6.058129851373378e-07,-1.239634518062952e-09,-1.4274793654345252e-06,0.9999999999987976,-2.3577333390485554e-08,2.441794949396545e-10,4.570117010838338e-15,2.4224499985216198e-08,1.1867950896488012e-05,9.799981123504118
1727706074.294757,6.054663461063681e-07,-1.2360474216889839e-09,-1.4274793652679918e-06,0.9999999999987977,-2.287737670124627e-08,2.3668273108809655e-10,9.987679161715612e-15,2.4148857137491795e-08,1.1861340410919861e-05,9.799981684143761
1727706074.3338053,6.050201092336747e-07,-1.2314298436804577e-09,-1.4274793651569695e-06,0.9999999999987981,-2.197677505863321e-08,2.2709559798935225e-10,1.5295139497801687e-14,2.4053890734141064e-08,1.1852818884175229e-05,9.79998240586644
